G:\Madhumoti River.dwg,Model,08/07/2018 16:23:45,User,EPSON L1800 Series.pc3,A3 297 x 420 mm,1:0.301733,
I:\Tungipara Helipad\Tungipara Helipad 18-07-2018.dwg,Model,31/07/2018 12:39:14,User,Canon LBP3500,A3,1:41.4536,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,01/08/2018 15:53:24,User,Canon LBP3500,A3,1:79.9899,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,01/08/2018 15:54:28,User,Canon LBP3500,A3,1:150.026,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,01/08/2018 15:55:16,User,Canon LBP3500,A3,1:113.164,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,01/08/2018 15:55:37,User,Canon LBP3500,A3,1:104.67,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,01/08/2018 15:55:54,User,Canon LBP3500,A3,1:81.2509,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,01/08/2018 15:56:10,User,Canon LBP3500,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,01/08/2018 15:56:27,User,Canon LBP3500,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,01/08/2018 15:56:44,User,Canon LBP3500,A3,1:136.523,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,01/08/2018 15:57:02,User,Canon LBP3500,A3,1:136.523,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 12:27:15,User,Canon LBP3500,A3,1:79.9899,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 12:27:33,User,Canon LBP3500,A3,1:150.026,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 12:28:02,User,Canon LBP3500,A3,1:113.164,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 12:28:19,User,Canon LBP3500,A3,1:104.67,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 12:28:50,User,Canon LBP3500,A3,1:81.2509,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 12:29:07,User,Canon LBP3500,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 12:29:24,User,Canon LBP3500,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 12:29:42,User,Canon LBP3500,A3,1:136.523,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 12:30:03,User,Canon LBP3500,A3,1:136.523,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 15:00:28,User,Canon LBP3500,A3,1:113.164,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 15:01:24,User,Canon LBP3500,A3,1:113.164,
D:\Mahmudul Work\BOX Culvert over Ghughumari Khal\Ghughumari Culvert.dwg,Model,02/08/2018 15:01:52,User,Canon LBP3500.pc3,A3,1:113.164,
G:\BOX Culvert over Boyersingh Khal\Boyer singh Box Culvert.dwg,Model,14/08/2018 11:24:25,User,Canon LBP3500,A3,1:79.9899,
G:\BOX Culvert over Boyersingh Khal\Boyer singh Box Culvert.dwg,Model,14/08/2018 11:24:52,User,Canon LBP3500,A3,1:150.026,
G:\BOX Culvert over Boyersingh Khal\Boyer singh Box Culvert.dwg,Model,14/08/2018 11:25:10,User,Canon LBP3500,A3,1:113.164,
G:\BOX Culvert over Boyersingh Khal\Boyer singh Box Culvert.dwg,Model,14/08/2018 11:25:29,User,Canon LBP3500,A3,1:104.67,
G:\BOX Culvert over Boyersingh Khal\Boyer singh Box Culvert.dwg,Model,14/08/2018 11:25:51,User,Canon LBP3500,A3,1:81.2509,
G:\BOX Culvert over Boyersingh Khal\Boyer singh Box Culvert.dwg,Model,14/08/2018 11:26:08,User,Canon LBP3500,A3,1:78.1634,
G:\BOX Culvert over Boyersingh Khal\Boyer singh Box Culvert.dwg,Model,14/08/2018 11:26:26,User,Canon LBP3500,A3,1:78.1634,
G:\BOX Culvert over Boyersingh Khal\Boyer singh Box Culvert.dwg,Model,14/08/2018 11:26:42,User,Canon LBP3500,A3,1:136.523,
G:\BOX Culvert over Boyersingh Khal\Boyer singh Box Culvert.dwg,Model,14/08/2018 11:26:59,User,Canon LBP3500,A3,1:136.523,
H:\BOX Culvert over Shakhabai Khal\Shakhabai Khal Box Culvert.dwg,Model,28/08/2018 11:25:04,User,Canon LBP3500.pc3,A3,1:150.026,
H:\BOX Culvert over Shakhabai Khal\Shakhabai Khal Box Culvert.dwg,Model,28/08/2018 11:25:35,User,Canon LBP3500.pc3,A3,1:113.164,
H:\BOX Culvert over Shakhabai Khal\Shakhabai Khal Box Culvert.dwg,Model,28/08/2018 11:25:55,User,Canon LBP3500.pc3,A3,1:120.37,
H:\BOX Culvert over Shakhabai Khal\Shakhabai Khal Box Culvert.dwg,Model,28/08/2018 11:26:17,User,Canon LBP3500.pc3,A3,1:89.376,
H:\BOX Culvert over Shakhabai Khal\Shakhabai Khal Box Culvert.dwg,Model,28/08/2018 11:26:46,User,Canon LBP3500.pc3,A3,1:78.1634,
H:\BOX Culvert over Shakhabai Khal\Shakhabai Khal Box Culvert.dwg,Model,28/08/2018 11:27:14,User,Canon LBP3500.pc3,A3,1:136.523,
G:\masum\design work\narail\pump house (narail)\gondhorbokhali pump house\protective work\protective work.dwg,Model,30/08/2018 13:04:40,User,Canon LBP3500.pc3,A3,1:0.165672,
G:\masum\design work\narail\pump house (narail)\gondhorbokhali pump house\protective work\protective work.dwg,Model,30/08/2018 13:05:54,User,Canon LBP3500.pc3,A3,1:0.149104,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,04/09/2018 12:33:12,User,Canon LBP3500.pc3,A3,1:79.9899,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,04/09/2018 12:33:45,User,Canon LBP3500.pc3,A3,1:150.026,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,04/09/2018 12:34:15,User,Canon LBP3500.pc3,A3,1:113.164,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,04/09/2018 12:34:40,User,Canon LBP3500.pc3,A3,1:120.37,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,04/09/2018 12:35:07,User,Canon LBP3500.pc3,A3,1:89.376,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,04/09/2018 12:35:32,User,Canon LBP3500.pc3,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,04/09/2018 12:37:45,User,Canon LBP3500.pc3,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,04/09/2018 12:38:03,User,Canon LBP3500.pc3,A3,1:136.523,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,04/09/2018 12:38:17,User,Canon LBP3500.pc3,A3,1:136.523,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:39:14,User,Canon LBP3500.pc3,A3,1:120.37,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:47:54,User,Canon LBP3500.pc3,A3,1:79.9899,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:48:13,User,Canon LBP3500.pc3,A3,1:150.026,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:48:30,User,Canon LBP3500.pc3,A3,1:113.164,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:48:43,User,Canon LBP3500.pc3,A3,1:120.37,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:48:55,User,Canon LBP3500.pc3,A3,1:89.376,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:49:11,User,Canon LBP3500.pc3,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:49:28,User,Canon LBP3500.pc3,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:49:45,User,Canon LBP3500.pc3,A3,1:136.523,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 14:49:57,User,Canon LBP3500.pc3,A3,1:136.523,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 15:12:02,User,Canon LBP3500.pc3,A3,1:150.026,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 15:12:24,User,Canon LBP3500.pc3,A3,1:120.37,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 15:12:38,User,Canon LBP3500.pc3,A3,1:89.376,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 15:13:11,User,Canon LBP3500.pc3,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,05/09/2018 15:21:20,User,Canon LBP3500.pc3,A3,1:136.523,
G:\Mongolbaria Groyne\Arial Khan R. at Sannasi Char .dwg,Model,06/09/2018 16:20:08,User,Canon LBP3500.pc3,A3,1:0.227001,
G:\Mongolbaria Groyne\Arial Khan R. at Sannasi Char .dwg,Model,06/09/2018 16:20:55,User,Canon LBP3500.pc3,A3,1:0.227001,
G:\Mongolbaria Groyne\Arial Khan R. at Sannasi Char .dwg,Model,06/09/2018 16:21:11,User,Canon LBP3500.pc3,A3,1:0.227001,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,06/09/2018 16:41:55,User,Canon LBP3500.pc3,A3,1:89.376,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,06/09/2018 16:42:50,User,Canon LBP3500.pc3,A3,1:78.1634,
D:\Mahmudul Work\BOX Culvert over Chingra kodal kata\Chingra Kodal kata culvert.dwg,Model,06/09/2018 16:43:08,User,Canon LBP3500.pc3,A3,1:78.1634,
